Year,Uyghur,Han,Kazakh,Hui,柯尔克孜族,蒙古族,锡伯族,俄罗斯族,塔吉克族,乌孜别克族,塔塔尔族,满 族,达斡尔族,其他民族
1978,555.53,512.90,82.10,53.12,10.40,10.74,2.55,0.06,2.28,0.77,0.31,0.42,0.41,1.42
1980,576.46,531.03,87.68,56.56,10.89,11.32,2.59,0.06,2.41,0.79,0.31,0.50,0.40,2.24
1985,629.44,534.92,98.72,59.96,12.35,12.33,2.93,0.43,2.89,0.93,0.33,0.95,0.48,4.49
1990,724.95,574.66,113.92,68.89,14.44,14.28,3.42,0.75,3.44,1.14,0.40,1.66,0.56,6.65
1995,780.00,631.81,123.77,74.76,15.78,15.28,3.82,0.90,3.82,1.33,0.47,1.99,0.62,7.00
2000,852.33,725.08,131.87,83.93,16.47,16.20,4.05,1.09,4.09,1.36,0.48,2.31,0.66,9.48
2001,860.56,742.20,131.92,84.42,17.01,16.19,4.13,1.08,4.12,1.37,0.47,2.30,0.67,9.75
2002,869.23,759.57,133.35,85.46,17.13,16.38,4.10,1.12,4.07,1.39,0.48,2.35,0.67,9.89
2003,882.35,771.10,135.21,86.67,17.37,16.69,4.03,1.11,4.09,1.46,0.49,2.39,0.67,10.32
2004,897.67,780.25,138.16,87.63,17.12,16.96,4.08,1.13,4.35,1.42,0.47,2.41,0.67,10.79
2005,923.50,795.66,141.39,89.35,17.15,17.17,4.15,1.12,4.40,1.51,0.47,2.46,0.65,11.37
2006,941.38,812.16,143.50,90.96,17.59,17.46,4.19,1.14,4.47,1.60,0.47,2.52,0.66,11.91
2007,965.06,823.93,148.39,94.30,18.19,17.71,4.24,1.16,4.48,1.61,0.47,2.56,0.67,12.42
2008,983.18,836.33,151.05,95.30,18.64,18.10,4.32,1.16,4.54,1.69,0.49,2.59,0.68,12.74
2009,1001.98,841.69,151.48,98.04,18.93,17.96,4.28,1.17,4.72,1.67,0.49,2.62,0.69,12.91
2010,1017.15,832.29,151.16,98.40,18.92,17.74,4.23,1.16,4.69,1.70,0.49,2.61,0.67,13.23
2011,1037.04,844.42,154.26,100.34,19.40,17.89,4.27,1.16,4.73,1.74,0.49,2.64,0.69,13.59
2012,1052.86,847.29,155.75,102.31,19.44,18.08,4.29,1.17,4.86,1.77,0.50,2.66,0.68,14.39
2013,1074.41,860.06,158.54,104.57,19.85,18.43,4.35,1.18,4.90,1.82,0.51,2.71,0.68,14.61
2014,1127.19,859.51,159.87,105.85,20.24,18.53,4.35,1.20,5.01,1.85,0.51,2.81,0.69,14.94
2015,1130.33,861.10,159.12,101.58,20.22,18.06,4.32,1.18,5.01,1.87,0.51,2.75,0.69,14.99
2016,1144.90,826.95,158.67,102.01,20.42,17.92,4.31,1.18,5.05,1.88,0.51,2.77,0.69,15.06
2017,1165.50,790.18,158.36,101.99,20.72,17.92,4.31,1.18,5.12,1.93,0.50,2.78,0.69,15.54
2018,1167.86,785.74,157.49,101.57,20.83,17.90,4.28,1.16,5.14,1.97,0.50,2.74,0.68,15.60
